repository_name,repository_url,commit_id,parent_commit_id,commit_url
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,f42df05ba87e2919551db5ca88a8145472909d28,8e0c8f798a2f3302cc7ca9d284ccbdbd3de795d6,https://github.com/cloudfoundry/uaa/commit/f42df05ba87e2919551db5ca88a8145472909d28
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,ba8b126596a2e2cd96e4aa6ed5d06c42b0e1a36a,8096fa2aad65533126b4ee148ec825973e87e445,https://github.com/cloudfoundry/uaa/commit/ba8b126596a2e2cd96e4aa6ed5d06c42b0e1a36a
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,1573a628f4e42d744ddd7f018840c18c3dd1a4bb,69af46293951360c4bb76b38082c901ef7d53116,https://github.com/cloudfoundry/uaa/commit/1573a628f4e42d744ddd7f018840c18c3dd1a4bb
flowable/flowable-engine,https://github.com/flowable/flowable-engine,1e2f72ff8969693ca469d50b97200b4386246a2f,3c4ccc4d1e4bd7b53369492b367501d3a436b4dc,https://github.com/flowable/flowable-engine/commit/1e2f72ff8969693ca469d50b97200b4386246a2f
apache/shenyu,https://github.com/apache/shenyu,43662feadbbec92daf6b5e1ed2f739933a83c4fd,c9f50d828fc8b8949b8fc8b4b299b47faa2140e1,https://github.com/apache/shenyu/commit/43662feadbbec92daf6b5e1ed2f739933a83c4fd
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,45afb06c25193372784f8bc092e2ce00c7d4f450,4f244c256a8956fa49f07af2415db913b814c2b5,https://github.com/cloudfoundry/uaa/commit/45afb06c25193372784f8bc092e2ce00c7d4f450
apache/shenyu,https://github.com/apache/shenyu,5cf74f15d8d23eaa98911b172cfe50a32571a6cb,9cbb71077d7dd9515390ff881ed7e375d8edd117,https://github.com/apache/shenyu/commit/5cf74f15d8d23eaa98911b172cfe50a32571a6cb
oracle/opengrok,https://github.com/oracle/opengrok,7a9eac95ac90138bf324e52d0536ec47798c0962,9c0a2a89c58144f4f2ff0d9d4d41781415635935,https://github.com/oracle/opengrok/commit/7a9eac95ac90138bf324e52d0536ec47798c0962
gocd/gocd,https://github.com/gocd/gocd,bd695b3c1a9e3bd124a68e49a0ce78b094784510,f2896db5d9e5c794d3548b09408247363e71474e,https://github.com/gocd/gocd/commit/bd695b3c1a9e3bd124a68e49a0ce78b094784510
google/data-transfer-project,https://github.com/google/data-transfer-project,9917d084915266f67392e094f060e85eff916bec,b4c3c89821b8356f466c112e22193e8bfd32100d,https://github.com/google/data-transfer-project/commit/9917d084915266f67392e094f060e85eff916bec
INRIA/spoon,https://github.com/INRIA/spoon,b69db1df6cfb7399550e1baf62d22a41419562da,cba8ebe02ac2ab13886461da991ed93e602481ea,https://github.com/INRIA/spoon/commit/b69db1df6cfb7399550e1baf62d22a41419562da
apache/jmeter,https://github.com/apache/jmeter,04a9460e98515f3f86ae095559e77618c0e36ec2,6b148cee4c945f8ef0358c65bfb852ad6012dc2e,https://github.com/apache/jmeter/commit/04a9460e98515f3f86ae095559e77618c0e36ec2
