Index,Commit URL,Type Name,Description,Memo,Agreement,Annotator Name,Path,Start Line (Before),End Line (Before),Start Line (After),End Line (After)
215,https://github.com/aliyun/aliyun-oss-android-sdk/commit/f2d65196b1e2eeb58253293e99df806b40fc694a,Test Helper,,,,Mont9165,,,,,
215,https://github.com/aliyun/aliyun-oss-android-sdk/commit/f2d65196b1e2eeb58253293e99df806b40fc694a,Rename Method,,,,Mont9165,,,,,
215,https://github.com/aliyun/aliyun-oss-android-sdk/commit/f2d65196b1e2eeb58253293e99df806b40fc694a,Non-Refactoring,,,,Mont9165,,,,,
216,https://github.com/mguessan/davmail/commit/e4f74887405325da5331e4ac9de917b719b80e5d,Non-Refactoring,,,,Mont9165,,,,,
217,https://github.com/TDesjardins/gwt-ol/commit/f58f1304882a7d74be3b96ef8bd81f406e2fb3e7,Non-Refactoring,,,,Mont9165,,,,,
232,https://github.com/restx/restx/commit/92bd155e239e44e73d42e8ceba1acd3d7e1d3929,Parameterized Test,,,,Mont9165,restx-core-annotation-processor/src/test/java/restx/annotations/processor/TypeHelperTest.java,14,26,39,40
219,https://github.com/kousen/java_latest/commit/66e62c6a688feb6ed01b0742d765ca46b9ab191f,Non-Refactoring,,,,Mont9165,,,,,
220,https://github.com/yegor256/takes/commit/688fd0a7b946ad91db26fd6d8e4d310a9ee7070b,Non-Refactoring,,,,Mont9165,,,,,
221,https://github.com/digital-preservation/droid/commit/afaeb4d9d11fa1c4ff3ef07e74f5ecb148f202ba,Non-Refactoring,,,,Mont9165,,,,,
N/A,https://github.com/apache/gravitino/commit/e1df6937172efce7d7af4904b8d1f419c33d6b39,Non-Refactoring,,,,Mont9165,,,,,
223,https://github.com/jhunters/jprotobuf/commit/c524898c0369321c418e5468d025f95a0bdf82ec,Rename Method,,,,Mont9165,,,,,
233,https://github.com/unclebob/fitnesse/commit/5990a0de28106fce1c47be9c10060f215c89c6a6,Creation Method,,,,Mont9165,test/fit/FixtureTest.java,122,128,135,143
233,https://github.com/unclebob/fitnesse/commit/5990a0de28106fce1c47be9c10060f215c89c6a6,Creation Method,,,,Mont9165,test/fit/FixtureTest.java,132,134,129,130
